Age,Species,Day,SurveyDay,Replicate,Treatment,Status,No_recruits,Total_no_recruits,Prop,Binary,Notes
3 month,Pstr,5,5,3,4mm,dead,1,1,1,1,
3 month,Pstr,5,5,3,control,dead,5,5,1,1,remnant decomposing tissue still in polyps
3 month,Pstr,5,5,4,control,dead,0,11,0,0,healthy
3 month,Pstr,5,5,4,2mm,dead,2,9,0.2,0,live slight tissue receding but look okay
3 month,Pstr,5,5,4,4mm,dead,5,5,1,1,actively decomposing
3 month,Ofav,5,5,1,2mm,dead,0,8,0,0,healthy
3 month,Ofav,5,5,1,4mm,dead,0,2,0,0,healthy
3 month,Ofav,5,5,1,control,dead,0,4,0,0,healthy
3 month,Ofav,5,5,2,control,dead,0,15,0,0,healthy
3 month,Ofav,5,5,2,2mm,dead,24,26,0.9,1,"actively decomposing, tissue sloughing off"
3 month,Ofav,5,5,2,4mm,dead,13,13,1,1,"half empty coralites, half remnant decomposing tissue"
3 month,Ofav,5,5,3,4mm,dead,46,46,1,1,actively decomposing
3 month,Ofav,5,5,3,control,dead,4,4,1,1,actively decomposing
3 month,Ofav,5,5,3,2mm,dead,2,6,0.3,0,"live slightly receding, but healthy"
3 month,Cnat,7,7,1,4mm,dead,19,19,1,1,
3 month,Cnat,7,7,1,control,dead,22,22,1,1,polyps no longer on tile
3 month,Cnat,7,7,1,2mm,dead,0,10,0,0,some have sediment in mouths
3 month,Cnat,7,7,2,control,dead,2,2,1,1,no algal growth
3 month,Cnat,7,7,2,2mm,dead,5,7,0.7,1,barely alive
3 month,Cnat,7,7,2,4mm,dead,6,6,1,1,
3 month,Cnat,7,7,3,control,dead,0,1,0,0,algal growth
3 month,Cnat,7,7,3,2mm,dead,0,2,0,0,holding onto sediment
3 month,Cnat,7,7,3,4mm,dead,0,4,0,0,one unhealthy
3 month,Cnat,7,7,4,2mm,dead,0,7,0,0,"algae growing around, tissue receding inward"
3 month,Cnat,7,7,4,4mm,dead,6,6,1,1,
3 month,Cnat,7,7,4,control,dead,4,5,0.8,1,
3 month,Pstr,7,7,1,4mm,dead,2,2,1,1,algal growth in skeleton
3 month,Pstr,7,7,1,control,dead,0,4,0,0,"slight algal growth, day 0 updated 2->4"
3 month,Pstr,7,7,1,2mm,dead,3,3,1,1,
3 month,Pstr,7,7,2,control,dead,0,1,0,0,half tile w/ algae growth
3 month,Pstr,7,7,2,2mm,dead,3,3,1,1,tissue melting off
3 month,Pstr,7,7,2,4mm,dead,5,5,1,1,
3 month,Pstr,7,7,3,control,dead,0,1,0,0,alive
3 month,Pstr,7,7,3,2mm,dead,0,1,0,0,alive
3 month,Pstr,7,7,3,4mm,dead,1,1,1,1,
3 month,Pstr,7,7,4,2mm,dead,0,2,0,0,receding tissue
3 month,Pstr,7,7,4,4mm,dead,1,1,1,1,sediment lodged in polyp
3 month,Pstr,7,7,4,control,dead,0,1,0,0,
3 month,Ofav,7,7,1,4mm,dead,1,1,1,1,
3 month,Ofav,7,7,1,control,dead,0,1,0,0,"alive, lots of algal growth, not connected to tile *reglued"
3 month,Ofav,7,7,1,2mm,dead,1,1,1,1,
3 month,Ofav,7,7,2,control,dead,0,3,0,0,fuzzy algae
3 month,Ofav,7,7,2,2mm,dead,1,1,1,1,lots of sediment stuck on super glue
3 month,Ofav,7,7,2,4mm,dead,4,4,1,1,some tissue still on one
3 month,Ofav,7,7,3,control,dead,2,8,0.3,0,healthy
3 month,Ofav,7,7,3,2mm,dead,0,2,0,0,fuzzy algae around polyp
3 month,Ofav,7,7,3,4mm,dead,4,4,1,1,
3 month,Cnat,10,10,1,control,dead,4,4,1,1,no algal film
3 month,Cnat,10,10,1,2mm,dead,0,6,0,0,"counted ten polyps, healthy"
3 month,Cnat,10,10,1,4mm,dead,7,7,1,1,
3 month,Cnat,10,10,2,4mm,dead,6,6,1,1,"actively decomposing, tissue in coralites"
3 month,Cnat,10,10,2,control,dead,1,6,0.2,0,U/R
3 month,Cnat,10,10,2,2mm,dead,0,5,0,0,"Tissue receding, but look healthy"
3 month,Cnat,10,10,3,2mm,dead,1,11,0.1,0,tissue receding
3 month,Cnat,10,10,3,4mm,dead,20,22,0.9,1,
3 month,Cnat,10,10,3,control,dead,0,8,0,0,
3 month,Cnat,10,10,4,4mm,dead,4,4,1,1,
3 month,Cnat,10,10,4,control,dead,0,2,0,0,healthy
3 month,Cnat,10,10,4,2mm,dead,0,4,0,0,healthy
3 month,Pstr,10,10,1,control,dead,0,2,0,0,
3 month,Pstr,10,10,1,2mm,dead,1,1,1,1,actively decomposing
3 month,Pstr,10,10,1,4mm,dead,4,4,1,1,actively decomposing
3 month,Pstr,10,10,2,4mm,dead,7,7,1,1,
3 month,Pstr,10,10,2,control,dead,2,8,0.3,0,"live and half healthy, half unhealthy"
3 month,Pstr,10,10,2,2mm,dead,4,7,0.6,1,receding
3 month,Pstr,10,10,3,2mm,dead,0,4,0,0,"slightly receding, but healthy *changed day 0 3->5"
3 month,Pstr,10,10,3,4mm,dead,2,3,0.7,1,unhealthy
3 month,Pstr,10,10,3,control,dead,0,2,0,0,healthy
3 month,Pstr,10,10,4,4mm,dead,1,1,1,1,
3 month,Pstr,10,10,4,control,dead,0,4,0,0,
3 month,Pstr,10,10,4,2mm,dead,1,1,1,1,
3 month,Ofav,10,10,1,control,dead,2,2,1,1,not overgrown by algae
3 month,Ofav,10,10,1,2mm,dead,3,3,1,1,
3 month,Ofav,10,10,1,4mm,dead,2,2,1,1,
3 month,Ofav,10,10,2,4mm,dead,5,5,1,1,
3 month,Ofav,10,10,2,control,dead,0,2,0,0,healthy
3 month,Ofav,10,10,2,2mm,dead,2,2,1,1,
3 month,Ofav,10,10,3,2mm,dead,0,2,0,0,receding
3 month,Ofav,10,10,3,4mm,dead,0,1,0,0,dead? tissue in skeleton not wafting away w/ pipette
3 month,Ofav,10,10,3,control,dead,0,3,0,0,healthy
